PlayerName,AV
Vinny Curry\CurrVi00,20
Ray Ellis\ElliRa20,20
King Hill\HillKi00,20
Jalen Mills\MillJa02,20
Joe Panos\PanoJo20,20
Ron Porter\PortRo21,20
John Sanders\SandJo21,20
James Willis\WillJa28,20
Riley Cooper\CoopRi00,19
Mike Golic\GoliMi20,19
Dave Graham\GrahDa20,19
Greg Jackson\JackGr21,19
Alshon Jeffery\JeffAl00,19
N.D. Kalu\KaluN.20,19
Bobby Richards\RichBo20,19
Reggie Singletary\SingRe20,19
Harold Wells\WellHa20,19
Jason Babin\BabiJa20,18
Derek Barnett\BarnDe01,18
Tom Brookshier\BrooTo00,18
Al Chesley\ChesAl20,18
Nick Cole\ColeNi20,18
Steve Everitt\EverSt20,18
Chris Gocong\GocoCh99,18
Winston Justice\JustWi20,18
Leroy Keyes\KeyeLe20,18
Terrell Owens\OwenTe00,18
Stewart Bradley\BradSt99,17
Billy Campfield\CampBi00,17
Ted Dean\DeanTe00,17
Tony Franklin\frankton01,17
Charlie Garner\GarnCh00,17
Michael Haddix\HaddMi00,17
Rhett Hall\HallRh20,17
Mike Hogan\HogaMi00,17
Po James\JamePo00,17
Leonard Mitchell\MitcLe20,17
Damon Moore\MoorDa20,17
Norm Van Brocklin\VanBNo00,17
Joel Williams\WillJo24,17
John Wittenborn\WittJo20,17
Joe Carollo\CaroJo00,16
Bill Dunstan\DunsBi20,16
Riley Gunnels\GunnRi20,16
Terry Hoage\HoagTe20,16
Kenny Jackson\JackKe01,16
Drew Mahalic\MahaDr20,16
Paul McFadden\mcfadpau01,16
Raleigh McKenzie\McKeRa20,16
Ike Reese\ReesIk99,16
Bill Romanowski\RomaBi00,16
Isaac Seumalo\SeumIs00,16
Allen Barbre\BarbAl20,15
Ernie Calloway\CallEr20,15
Marion Campbell\CampMa01,15
Nathan Gerry\GerrNa00,15
Artis Hicks\HickAr20,15
Darren Howard\HowaDa21,15
Max Jean-Gilles\JeanMa20,15
Izel Jenkins\JenkIz20,15
Izzy Lang\LangIz00,15
Mark Simoneau\SimoMa20,15
Chuck Weber\WebeCh21,15
Cris Carter\CartCr00,14
Kurt Coleman\ColeKu99,14
Richard Cooper\CoopRi20,14
Mark Dennard\DennMa20,14
Ty Detmer\DetmTy00,14
Moise Fokou\FokoMo99,14
Ed George\GeorEd20,14
Joselio Hanson\HansJo20,14
Cullen Jenkins\JenkCu20,14
Greg Lewis\LewiGr01,14
Rich Miano\MianRi20,14
Freddie Mitchell\MitcFr00,14
Cyril Pinder\PindCy00,14
Jess Richardson\RichJe01,14
Miles Sanders\SandMi01,14
Ben Smith\SmitBe21,14
Broderick Thompson\ThomBr22,14
Shawn Barber\BarbSh20,13
Norm Bulaich\BulaNo00,13
Stan Campbell\CampSt20,13
Pete Case\CasePe20,13
Kevin Curtis\CurtKe00,13
James Darling\DarlJa20,13
Jon Dorenbos\DoreJo20,13
King Dunlap\DunlKi20,13
Elbert Foules\FoulEl20,13
Barry Gardner\GardBa20,13
Britt Hager\HageBr20,13
Bob Howard\HowaBo20,13
John Nocera\NoceJo20,13
Rodney Peete\PeetRo00,13
Jim Schrader\SchrJi00,13
George Tarasovic\TaraGe20,13
Halapoulivaati Vaitai\VaitHa00,13
