PlayerName,YearFrom,YearTo,GamesPlayed,Position,After1960
Jodie Whire\WhirJo20,1933,1933,2,FB,0
Bob Rowe\RoweBo20,1935,1935,4,HB,0
Irv Kupcinet\KupcIr20,1935,1935,2,QB,0
Benjy Dial\DialBe00,1967,1967,1,QB,1
Wes McAfee\McAfWe20,1941,1941,8,HB,0
Dan Barnhart\BarnDa20,1934,1934,1,KR,0
Jim Ward\WardJi00,1971,1971,2,QB,1
Reds Bassman\BassRe20,1936,1936,8,K,0
Joe Scarpati\ScarJo21,1964,1969,82,RS,1
Jim Castiglia\CastJi20,1941,1946,23,FB,0
Jack Knapper\KnapJa20,1934,1934,2,B,0
Dan Pastorini\PastDa00,1983,1983,3,QB,1
Nick Basca\BascNi20,1941,1941,11,HB,0
Mike Sebastian\SebaMi20,1935,1935,4,HB,0
Winnie Baze\BazeWi20,1937,1937,10,B,0
Wilbert Montgomery\MontWi00,1977,1984,100,RB,1
Torrance Small\SmalTo00,1999,2000,29,WR,1
Steve Banas\BanaSt20,1935,1935,2,BB,0
Dorsey Levens\LeveDo00,2002,2004,31,RB,1
Jerry Norton\NortJe00,1954,1958,51,P,0
Harry O'Boyle\OBoyHa20,1933,1933,2,FB,0
Nick Prisco\PrisNi20,1933,1933,2,TB,0
Bosh Pritchard\PritBo20,1942,1951,54,PR,0
Gary Ballman\BallGa00,1967,1972,66,FL,1
Mike Bartrum\BartMi00,2000,2006,107,TE,1
Hank Baskett\BaskHa00,2006,2010,50,WR,1
Lee Bouggess\BougLe00,1970,1973,32,FB,1
Bill Bradley\BradBi00,1969,1976,110,FS,1
Cris Carter\CartCr00,1987,1989,41,WR,1
Sonny Davis\DaviSo00,1971,1971,14,FB,1
Jake Elliott\ElliJa03,2017,2020,63,K,1
Jeff Feagles\FeagJe20,1990,1993,64,P,1
Glenn Frey\FreyGl20,1936,1937,18,BB,0
Otis Grant\GranOt00,1987,1987,3,WR,1
Chas Henry\HenrCh02,2011,2012,19,P,1
Josh Huff\HuffJo00,2014,2016,34,WR,1
DeSean Jackson\JackDe00,2008,2020,95,PR,1
Billy Jefferson\JeffBi20,1942,1942,5,HB,0
Rick Lackman\LackRi20,1933,1935,23,HB,0
Greg Lewis\LewiGr01,2003,2008,90,WR,1
Ray Poage\PoagRa00,1964,1965,27,TE,1
John Sciarra\SciaJo20,1978,1983,76,PR,1
Brad Smith\SmitBr01,2013,2014,19,WR,1
Anthony Toney\ToneAn00,1986,1990,67,FB,1
Herschel Walker\WalkHe00,1992,1994,48,RB,1
Lee Woodruff\WoodLe20,1933,1933,9,B,0
Frank Ziegler\ZiegFr00,1949,1953,57,RH,0
Rick Engles\EnglRi20,1978,1978,6,P,1
Spike Jones\JoneSp20,1975,1977,40,P,1
LeSean McCoy\McCoLe01,2009,2014,90,RB,1
Duce Staley\StalDu00,1997,2003,98,RB,1
Ricky Watters\WattRi00,1995,1997,48,RB,1
Tom Woodeshick\WoodTo01,1963,1971,111,FB,1
Tom Sullivan\SullTo00,1972,1977,80,RB,1
Charlie Garner\GarnCh00,1994,1998,66,RB,1
Correll Buckhalter\BuckCo00,2001,2008,74,RB,1
Heath Sherman\SherHe00,1989,1993,76,FB,1
Mike Hogan\HogaMi00,1976,1980,41,FB,1
Miles Sanders\SandMi01,2019,2020,28,RB,1
Jim Parmer\ParmJi20,1948,1956,88,FB,0
Darren Sproles\SproDa00,2014,2019,61,KR,1
Po James\JamePo00,1972,1975,49,RB,1
Ryan Mathews\MathRy00,2015,2016,26,RB,1
Michael Haddix\HaddMi00,1983,1988,88,RB,1
Cyril Pinder\PindCy00,1968,1970,42,RB,1
Jack Hinkle\HinkJa20,1941,1947,37,B,0
Hubie Oliver\OlivHu00,1981,1985,46,FB,1
Earnest Jackson\JackEa00,1985,1985,16,RB,1
Ted Dean\DeanTe00,1960,1963,42,FB,1
Leroy Harris\HarrLe01,1979,1982,37,FB,1
Bryce Brown\BrowBr02,2012,2013,32,RB,1
Wendell Smallwood\SmalWe00,2016,2018,37,RB,1
James Joseph\JoseJa00,1991,1994,62,RB,1
LeGarrette Blount\BlouLe00,2017,2017,16,RB,1
Toy Ledbetter\LedbTo20,1950,1955,40,HB,0
Hal Giancanelli\GianHa20,1953,1956,41,HB,0
DeMarco Murray\MurrDe00,2015,2015,15,RB,1
Corey Clement\ClemCo00,2017,2020,46,RB,1
